                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.9684,                 2.3166,                 2.3946,                 1.7286,                 2.8431,                 2.1707,                0.15988,                0.21699,                0.16125,                0.05931,                  2.071,                 3.3732,                 2.6949,                 1.7977,                 3.7463,                 2.4358,              0.0014855,              0.0014855,              0.0014855
                     25,                 1.8964,                 2.2357,                 2.3479,                 1.6746,                 2.6943,                 2.1174,                0.28088,                0.28734,                0.21702,                0.07946,                 2.1371,                 3.0103,                  2.702,                 1.7651,                 3.3073,                 2.3948,              0.0014772,              0.0014772,              0.0014772
                     26,                 1.8882,                 2.1863,                 2.3236,                 1.6672,                 2.6899,                 2.1183,                 0.2352,                0.30205,                 0.2535,                0.10027,                 2.0214,                  3.356,                 2.6122,                 1.7376,                 3.4702,                  2.328,               0.001469,               0.001469,               0.001469
                     27,                 1.8534,                 2.1659,                 2.2838,                 1.6292,                 2.6157,                 2.0783,                0.27796,                0.40235,                0.28458,                0.12722,                 2.0003,                 2.3987,                 2.5768,                 1.5347,                   3.03,                  2.238,              0.0014607,              0.0014607,              0.0014607
                     28,                 1.8653,                  2.096,                 2.2459,                 1.6955,                 2.5339,                 2.0906,                0.41236,                0.34307,                 0.3989,                0.17118,                 2.0107,                 2.3493,                 2.6711,                 1.7454,                 2.8225,                 2.4393,              0.0014525,              0.0014525,              0.0014525
                     29,                 1.8295,                 2.1833,                 2.2753,                 1.6519,                 2.6253,                 2.0885,                0.23782,                0.27652,                0.15295,                0.07301,                 2.2091,                 2.7563,                 2.8443,                 1.8695,                 3.3287,                  2.538,              0.0014442,              0.0014442,              0.0014442
                     30,                 1.7834,                 2.0706,                 2.2172,                 1.6373,                 2.4893,                  2.026,                0.26242,                 0.4237,                0.30606,                0.14008,                 2.0447,                 2.2191,                 2.6169,                 1.7492,                 2.7153,                 2.2974,               0.001436,               0.001436,               0.001436
                     31,                 1.7856,                 1.9892,                 2.1891,                 1.6114,                 2.4172,                 2.0111,                0.43962,                0.33225,                0.38679,                0.18547,                 1.9173,                 2.0602,                 2.5331,                 1.5945,                 2.7428,                 2.3127,              0.0014277,              0.0014277,              0.0014277
                     32,                 1.7527,                 2.0412,                 2.1679,                 1.5588,                  2.438,                 1.9731,                0.25568,                0.22998,                0.19211,                0.08719,                 1.9888,                 2.3348,                 2.6906,                 1.7806,                 2.9554,                 2.4441,              0.0014195,              0.0014195,              0.0014195
                     33,                  1.717,                 1.9518,                 2.1457,                 1.5595,                 2.3465,                 1.9533,                0.28803,                0.44751,                0.32772,                0.14449,                 1.8463,                 2.2986,                 2.4153,                 1.6326,                 2.7994,                 2.2543,              0.0014112,              0.0014112,              0.0014112
